filename,02 DOI,03 Citation,05 Data Type by Source,06 Mode of Collection,07 Type of Instrument,11 Data Collector,12 Data Source,13 Data DOI,15 Data availability statement,17 Code citation
0956797619866627.pdf,10.1177/0956797619866627,"Heck, Daniel W., Isabel Thielmann, Sina A. Klein, and Benjamin E. Hilbig. ""On the Limited Generality of Air Pollution and Anxiety as Causal Determinants of Unethical Behavior: Commentary on Lu, Lee, Gino, and Galinsky (2018)."" Psychological Science, 31, no. 6 (2020): 741-747. doi:10.1177/0956797619866627",secondary,Aggregation,openly accessible databases,not applicable,"UK police, UK Department for Environment, Food & Rural Affairs, and the Office for National Statistics",,The data and analysis scripts are available on the Open Science Framework (https://osf.io/k76b2/).,https://osf.io/k76b2/
0956797620951115.pdf,10.1177/0956797620951115,"Gebauer, Jochen E., Jennifer Eck, Theresa M. Entringer, Wiebke Bleidorn, Peter J. Rentfrow, Jeff Potter, and Samuel D. Gosling. ""The Well-Being Benefits of Person-Culture Match Are Contingent on Basic Personality Traits."" Psychological Science, vol. 31, no. 10, 2020, pp. 1283–1293. doi: 10.1177/0956797620951115.",secondary,Self-administered questionnaire,Gosling-Potter Internet Personality Project (GPIPP),not applicable,Gosling-Potter Internet Personality Project (GPIPP),,Additional supporting information can be found at http://journals.sagepub.com/doi/suppl/10.1177/0956797620951115,
1-s2.0-S0001691824002671-main.pdf,https://doi.org/10.1016/j.actpsy.2024.104390,"Kamp, Siri-Maria, Lisa Henrich, Ronja Walleitner, Meike Kroneisen, Julia Balles, Inga Dzionsko-Becker, Heike Hoffmann, Sara Königs, Selina Schneiders, Markus Leisse, and Edgar Erdfelder. ""The survival processing effect in episodic memory in older adults and stroke patients."" Acta Psychologica 248 (2024): 104390. https://doi.org/10.1016/j.actpsy.2024.104390",primary,Experiment,E-Prime,authors,not applicable,,Data sheets and supplementary materials for both experiments are available at https://osf.io/nkb2q/?view_only=77d93dd0c54449f9916ba5c0ea163ab6.,
1-s2.0-S0001691826007493-main.pdf,https://doi.org/10.1016/j.actpsy.2026.106948,"Lorette, Pernelle. ""The use of lexico-semantics and gender marking as cues to prediction in L1 and L2 German."" Acta Psychologica 266 (2026): 106948. https://doi.org/10.1016/j.actpsy.2026.106948",primary,Experiment,eye tracker,the author,not applicable,,"The data, analysis scripts and materials supporting the findings of this study are openly available in OSF at https://osf.io/dg5cq/",https://osf.io/dg5cq/
1-s2.0-S0003347224002628-main.pdf,https://doi.org/10.1016/j.anbehav.2024.09.001,"Cenni, Camilla, Christina Nord, Jessica B. A. Christie, I Nengah Wandia, and Jean-Baptiste Leca. ""How does object play shape tool use emergence? Integrating observations and ﬁeld experiments in longtailed macaques."" Animal Behaviour 218 (2024): 239-254. https://doi.org/10.1016/j.anbehav.2024.09.001",primary,Experiment,puzzle box,"Camilla Cenni, Jean-Baptiste Leca",not applicable,,,R code is available as Supplementary Material S3eS4
1-s2.0-S0005796723000384-main.pdf,https://doi.org/10.1016/j.brat.2023.104289,"Danböck, Sarah K., Laila K. Franke, Stephan F. Miedl, Michael Liedlgruber, Paul-Christian Bürkner, and Frank H. Wilhelm. ""Experimental induction of peritraumatic dissociation: The role of negative affect and pain and their psychophysiological and neural correlates."" Behaviour Research and Therapy 164 (2023): 104289. https://doi.org/10.1016/j.brat.2023.104289",primary,Experiment,"E-Prime 2.0, Polybench 1.22, Porti 32-channels-amplifier, skin-conductance-amplifier, fMRI scanner (Siemens Magnetom Prisma), Digitimer DS7A",authors,not applicable,,Data will be made available on request.,
1-s2.0-S0005796724001694-main.pdf,10.1016/j.brat.2024.104642,"Alpers, Georg W. ""Happy 100th anniversary, behavior therapy!"" Behaviour Research and Therapy 183 (2024): 104642. https://doi.org/10.1016/j.brat.2024.104642",no data,not applicable,not applicable,not applicable,not applicable,,,
1-s2.0-S0005796725000130-main.pdf,https://doi.org/10.1016/j.brat.2025.104691,"Velten, Julia, Hanna Christiansen, Jürgen Hoyer, Tina In-Albon, Tania Lincoln, Wolfgang Lutz, Jürgen Margraf, Henning Schöttke, Rudolf Stark, Katja Werheid, Ulrike Willutzki, Georg W. Alpers, Stephan Bartholdy, Elisa-Maria Berger, Eva-Lotta Brakemeier, Anne-Kathrin Bräscher, Timo Brockmeyer, Isabel Dziobek, Lydia Fehm, Thomas Forkmann, Julia Glombiewski, Sylvia Helbig-Lang, Andrea Hermann, Anke Kirsch, Tim Klucken, Patrizia Odyniec, Anya Pedersen, Babette Renneberg, Almut Rudolph, Brian Schwartz, Tobias Teismann, Gabriele Wilz, and Julian A. Rubel. ""Effectiveness of cognitive behavioral therapy for adult mental disorders: A large-scale naturalistic study across 29 university outpatient clinics."" Behaviour Research and Therapy 186 (2025): 104691. https://doi.org/10.1016/j.brat.2025.104691",primary,Measurements and tests,"Brief Symptom Inventory (BSI), Beck Depression Inventory II (BDI), Structured Clinical Interview, Diagnostic Interview for Mental Disorders",KODAP initiative,not applicable,10.1016/j.brat.2025.104691,"Supplementary data to this article can be found online at https://doi. org/10.1016/j.brat.2025.104691. Data availability
Data will be made available on request.",
1-s2.0-S0005796725002748-main.pdf,10.1016/j.brat.2025.104946,"Richter, Jan, Alfons O. Hamm, Thomas Lang, Alexander L. Gerlach, Christiane A. Melzig, Anne Helms, Kezia-Lara Droste, Stephan Goerigk, Benjamin Straube, Tilo Kircher, Winfried Rief, Ulrike Lueken, Georg W. Alpers, and Sylvia Helbig-Lang. ""Instructed increase in fear activation during exposure exercises does not enhance treatment effects of cognitive behavioral therapy for panic disorder and agoraphobia."" Behaviour Research and Therapy 197 (2026): 104946. https://doi.org/10.1016/j.brat.2025.104946",primary,Measurements and tests,"SIGH-A, CGI, PAS, MI, electronic diary",authors,not applicable,,"Supplementary data to this article can be found online at https://doi. org/10.1016/j.brat.2025.104946. Data availability
The authors do not have permission to share data.",
1-s2.0-S0010027719302422-main.pdf,10.1016/j.cognition.2019.104069,"Heck, Daniel W., Lukas Seiling, and Arndt Bröder. ""The Love of Large Numbers Revisited: A Coherence Model of the Popularity Bias."" Cognition 195 (2020): 104069. https://doi.org/10.1016/j.cognition.2019.104069",mixed,Experiment,SoSci Survey,authors,Powell et al. (2017),,Data and R scripts for the analyses are available at the Open Science Framework at https://osf.io/mzb7n/.,https://osf.io/mzb7n/
1-s2.0-S0010027721004340-main.pdf,https://doi.org/10.1016/j.cognition.2021.105011,"Undorf, Monika, Sofia Navarro-Báez, and Arndt Bröder. “You don't know what this means to me” – Uncovering idiosyncratic influences on metamemory judgments. Cognition 222 (2022): 105011. https://doi.org/10.1016/j.cognition.2021.105011",primary,Experiment,"story-writing task, personality questionnaire (BFI-10), image-selection task, JOL prompt","Monika Undorf, Sofia Navarro-B´aez, Arndt Br¨oder",not applicable,,"All materials, data, and code are publically available at https://osf. io/pd8m2/.",https://osf. io/pd8m2/
1-s2.0-S0010027725000654-main.pdf,10.1016/j.cognition.2025.106125,"Liu, Xiaotong, Arndt Bröder, and Henrik Singmann. ""Evaluating the role of mental sampling in probability judgments: Illogical rankings occur in a predictable manner."" Cognition 263 (2025): 106125. https://doi.org/10.1016/j.cognition.2025.106125",primary,Experiment,"Prolific, lab.js",Xiaotong Liu,not applicable,,Dataset link: https://osf.io/hw8p9/,
1-s2.0-S0014292120301367-main.pdf,https://doi.org/10.1016/j.euroecorev.2020.103505,"Todtenhaupt, Maximilian, Johannes Voget, Lars P. Feld, Martin Ruf, and Ulrich Schreiber. ""Taxing away M&A: Capital gains taxation and acquisition activity."" European Economic Review 128 (2020): 103505. https://doi.org/10.1016/j.euroecorev.2020.103505",secondary,Compilation/Synthesis,not applicable,not applicable,"Zephyr, CRSP, WDI, Bureau van Dijk, CEPII GeoDist Database, OECD, IBFD, Index of Economic Freedom",,"Supplementary material associated with this article can be found, in the online version, at 10.1016/j.euroecorev.2020.103505",
1-s2.0-S001429212200040X-main.pdf,https://doi.org/10.1016/j.euroecorev.2022.104094,"Andor, Mark A., Andreas Gerster, and Jörg Peters. ""Information campaigns for residential energy conservation."" European Economic Review 144 (2022): 104094. https://doi.org/10.1016/j.euroecorev.2022.104094.",mixed,Experiment,information letters,M.A. Andor et al.,utilities' customer database,,Supplementary material related to this article can be found online at https://doi.org/10.1016/j.euroecorev.2022.104094.,
1-s2.0-S0014292124000035-main.pdf,https://doi.org/10.1016/j.euroecorev.2024.104674,"Meier, Matthias, and Eugenio Pinto. ""COVID-19 Supply Chain Disruptions."" European Economic Review 162 (2024): 104674. https://doi.org/10.1016/j.euroecorev.2024.104674.",secondary,Aggregation,not applicable,not applicable,"BEA 2012 Input–Output Accounts, Census International Trade Data, Federal Reserve G.17 release",,Supplementary material related to this article can be found online at https://doi.org/10.1016/j.euroecorev.2024.104674.,
1-s2.0-S0014292124000850-main.pdf,10.1016/j.euroecorev.2024.104756,"Gulyas, Andreas, Matthias Meier, and Mykola Ryzhenkov. ""Labor market effects of monetary policy across workers and firms."" European Economic Review 166 (2024): 104756. https://doi.org/10.1016/j.euroecorev.2024.104756",secondary,not applicable,not applicable,not applicable,Austrian social security administration,,Supplementary material related to this article can be found online at https://doi.org/10.1016/j.euroecorev.2024.104756.,
1-s2.0-S0014498324000524-main.pdf,10.1016/j.eeh.2024.101626,"Claridge, Jordan, Vincent Delabastita, and Spike Gibbs. ""(In-kind) Wages and labour relations in the Middle Ages: It’s not (all) about the money"". Explorations in Economic History 94 (2024): 101626. https://doi.org/10.1016/j.eeh.2024.101626",secondary,Compilation/Synthesis,manorial accounts,not applicable,manorial accounts,,A version of the data may be made available upon request. Please contact the corresponding author with any enquiries.,
1-s2.0-S0019850125000422-main.pdf,https://doi.org/10.1016/j.indmarman.2025.02.016,"Schültken, Ruth, Steffen Kokozinski, and Christoph Bode. ""Beyond buying bytes: Complementing agile new product development with an agile procurement process."" Industrial Marketing Management 126 (2025): 210–220. https://doi.org/10.1016/j.indmarman.2025.02.016",primary,Interview,interview guidelines,authors,not applicable,,The data that has been used is confidential.,
1-s2.0-S0019850126000271-main.pdf,10.1016/j.indmarman.2026.02.012,"Huang, Guzi, Aline Isabelle Lanzrath, and Christian Homburg. ""When do high prices sell better for sustainable products in business-to-business markets? The role of price–sustainability fit."" Industrial Marketing Management 134 (2026): 172–185. doi:10.1016/j.indmarman.2026.02.012.",primary,Experiment,online survey tool,authors,not applicable,10.1016/j.indmarman.2026.02.012,Data will be made available on request.,
1-s2.0-S0022053125001607-main.pdf,10.1016/j.jet.2025.106114,"Goldlücke, Susanne, and Thomas Tröger. ""The multiple-volunteers principle."" Journal of Economic Theory 231 (2026): 106114. https://doi.org/10.1016/j.jet.2025.106114",no data,not applicable,not applicable,not applicable,not applicable,,No data was used for the research described in the article.,
1-s2.0-S0022096524002042-main.pdf,10.1016/j.jecp.2024.106064,"Melzel, Saskia, Nicole Altvater-Mackensen, Kerstin Ganglmayer, Fabian Müller, Konstantin Steinmassl, Petra Hauf, and Markus Paulus. ""The development of children’s and adults’ use of kinematic cues for visual anticipation and verbal prediction of action."" Journal of Experimental Child Psychology 249 (2025): 106064. https://doi.org/10.1016/j.jecp.2024.106064",primary,Experiment,Tobii T60 eye tracker,the authors,not applicable,,The data that support the ﬁndings of this study as well as the analysis code are openly available at the OSF (https://osf.io/m4x6h/?view_only=eaf5830aad7a40dba8039f5e208d3b5f).,https://osf.io/m4x6h/?view_only=eaf5830aad7a40dba8039f5e208d3b5f
1-s2.0-S0022103123000458-main.pdf,10.1016/j.jesp.2023.104488,"Landwehr, Jan R., and Michaela Wänke. ""Face-to-face: Three facial features that may turn the scale in close electoral races."" Journal of Experimental Social Psychology 108 (2023): 104488. https://doi.org/10.1016/j.jesp.2023.104488",mixed,Experiment,"AR Face Database, 7-point scale, customized script for the statistical software R",authors,"AR Face Database, 2009 German Federal election",,All data and code used in the analyses are available on OSF: https://osf.io/h9ygw/,https://osf.io/h9ygw/
1-s2.0-S0022103125000873-main.pdf,10.1016/j.jesp.2025.104806,"Spiridonova, Teodora, Olga Stavrova, and Ilja van Beest. ""Does protection come at a cost? A random stimuli approach to investigating the (side-)effects of misinformation inoculations"". Journal of Experimental Social Psychology 121 (2025): 104806. https://doi.org/10.1016/j.jesp.2025.104806",mixed,Experiment,Prolific,Teodora Spiridonova,"McIntire, 2017",,The materials and data for all three studies can be accessed at: https://osf.io/mh3vj/?view_only=a7da587c3b39499ab58d84419f63d c88.,https://osf.io/mh3vj/?view_only=a7da587c3b39499ab58d84419f63d c88
1-s2.0-S0022199624000291-main.pdf,10.1016/j.jinteco.2024.103905,"Fadinger, Harald, Philipp Herkenhoff, and Jan Schymik. ""Quantifying the Germany shock: Structural labor-market reforms and spillovers in a currency union."" Journal of International Economics 150 (2024): 103905. https://doi.org/10.1016/j.jinteco.2024.103905",mixed,Simulation,model,authors,"IMF, OECD, World Development Indicators, WIOD socio-economic accounts, EU KLEMS, Eurostat Comext, Penn World Tables version 8.0",https://data.mendeley.com/datasets/rsph6fxnj7/1,"Data availability
https://data.mendeley.com/datasets/rsph6fxnj7/1.",
1-s2.0-S0022247X24007108-main.pdf,10.1016/j.jmaa.2024.128788,"Mickel, Annalena, and Andreas Neuenkirch. ""On the convergence order of the Euler scheme for scalar SDEs with Hölder-type diﬀusion coeﬃcients."" Journal of Mathematical Analysis and Applications 542 (2025): 128788. doi:10.1016/j.jmaa.2024.128788.",no data,not applicable,not applicable,not applicable,not applicable,,,
1-s2.0-S0040162524000714-main.pdf,https://doi.org/10.1016/j.techfore.2024.123275,"Mula, Claire, Nora Zybura, and Thomas Hipp. ""From digitalized start-up to scale-up: Opening the black box of scaling in digitalized firms towards a scaling process framework."" Technological Forecasting & Social Change 202 (2024): 123275. https://doi.org/10.1016/j.techfore.2024.123275",mixed,Interview,semi-structured interviews,the authors,Crunchbase,,The authors do not have permission to share data.,
1-s2.0-S0040162524006085-main.pdf,https://doi.org/10.1016/j.techfore.2024.123810,"Schmück, Kilian, Magnus Schückes, Tobias Gutmann, and Oliver Gassmann. ""Less trust, more truth: Implications and design choices for business models and platform ecosystems in the age of Web3."" Technological Forecasting & Social Change 211 (2025): 123810. https://doi.org/10.1016/j.techfore.2024.123810",mixed,Interview,exploratory semi-structured interviews,"Kilian Schmück, Magnus Schückes, Tobias Gutmann, Oliver Gassmann","crunchbase.com, ICObench.com",,"Data availability
Data will be made available on request.",
